sale_id;item_id;quantity_purchased;tgl_penjualan
1;14;1;11/3/2023 11:29
2;41;1;11/3/2023 11:29
2;48;2;11/3/2023 11:29
3;45;1;11/3/2023 11:29
4;14;1;11/3/2023 11:29
4;19;1;11/3/2023 11:29
4;75;1;11/3/2023 11:29
5;83;1;11/3/2023 11:29
6;8;1;11/3/2023 11:29
6;37;1;11/3/2023 11:29
7;30;1;11/3/2023 11:29
7;82;1;11/3/2023 11:29
8;86;1;11/3/2023 11:29
9;85;1;11/3/2023 11:29
10;54;1;11/3/2023 11:29
11;3;1;11/3/2023 11:29
11;38;1;11/3/2023 11:29
12;4;1;11/3/2023 11:29
12;75;1;11/3/2023 11:29
13;71;1;11/3/2023 11:29
14;35;1;11/3/2023 11:29
14;67;1;11/3/2023 11:29
15;29;1;11/3/2023 11:29
15;30;1;11/3/2023 11:29
15;45;1;11/3/2023 11:29
15;49;2;11/3/2023 11:29
15;53;1;11/3/2023 11:29
16;80;1;11/3/2023 11:29
17;63;1;11/3/2023 11:29
18;12;1;11/3/2023 11:29
18;31;1;11/3/2023 11:29
18;38;1;11/3/2023 11:29
18;45;1;11/3/2023 11:29
18;49;2;11/3/2023 11:29
18;73;1;11/3/2023 11:29
19;63;1;11/3/2023 11:29
20;20;1;11/3/2023 11:29
21;56;1;11/3/2023 11:29
22;55;1;11/3/2023 11:29
22;66;1;11/3/2023 11:29
22;71;1;11/3/2023 11:29
23;66;1;11/3/2023 11:29
23;69;1;11/3/2023 11:29
24;53;1;11/3/2023 11:29
24;75;1;11/3/2023 11:29
25;76;2;11/3/2023 11:29
25;78;1;11/3/2023 11:29
26;65;1;11/3/2023 11:29
26;75;1;11/3/2023 11:29
27;49;2;11/3/2023 11:29
28;77;1;11/3/2023 11:29
28;84;1;11/3/2023 11:29
29;2;1;11/3/2023 11:29
30;27;1;11/3/2023 11:29
30;57;1;11/3/2023 11:29
31;68;1;11/3/2023 11:29
32;45;1;11/3/2023 11:29
32;75;1;11/3/2023 11:29
33;75;1;11/3/2023 11:29
34;26;1;11/3/2023 11:29
35;47;2;11/3/2023 11:29
36;12;1;11/3/2023 11:29
36;75;1;11/3/2023 11:29
37;75;1;11/3/2023 11:29
