name;category;item_id
jam monster blueberry;Creamy liquid;1
jam monster strwberry;Creamy liquid;2
Caliburn gz2 pod;pod system;3
cookies & cream 100ml;Creamy liquid;4
mora;Creamy liquid;5
rasa sukses;Creamy liquid;6
tripple double;Creamy liquid;7
chiken dinner 100ml;Creamy liquid;8
crank;Creamy liquid;9
es permen karet salt 30ml;saltnic;10
komodo liquid 60ml;Creamy liquid;11
luna hero57 60ml;Creamy liquid;12
pocky q strwberry;Creamy liquid;13
Caliburn az3 pod;pod system;14
coffemel 60ml;Creamy liquid;15
yeushsbshwiw;Creamy liquid;16
marshmallowman;Creamy liquid;17
fla strwberry;Creamy liquid;18
bule nana;Creamy liquid;19
hype juice;fruity liquid;20
iceberg 60ml;fruity liquid;21
maui nanas;fruity liquid;22
golden sponge 60ml;Creamy liquid;23
es kopyor 30ml;fruity liquid;24
icebox sop;fruity liquid;25
hawwaian cocktail;fruity liquid;26
kill child mix fruity;fruity liquid;27
Rpm C kit;device;28
rincoe mechman;device;29
druga rda authentic;atomizer;30
goon clone rta;atomizer;31
phoenix wire 28;tools;32
pasito coil dtl;pod system;33
pasito coil mtl;pod system;34
catdrige upods;pod system;35
coil exceed freebase;pod system;36
gunting lipat;tools;37
basen charger ;tools;38
ud nichrome;tools;39
nichrome geek vape;tools;40
flava ;tools;41
atomix luxury;tools;42
holly fiber kapas;tools;43
Liqueen 60ml;Creamy;44
cellu;tools;45
cotton bacon prime;tools;46
blackcell batre 3000mah;tools;47
batre kdest 3100mah;tools;48
batrevapcell 2600;tools;49
twisted sundae;Creamy liquid;50
grappy 60ml;fruity liquid;51
majorca;Creamy liquid;52
khalifa 60ml;fruity liquid;53
mighty 60ml;fruity liquid;54
renova zero pod;pod system;55
blueberry jam 60ml;Creamy liquid;56
komodo ez dripper 15ml;device;57
mallowlicios;Creamy liquid;58
screwbacco 60ml;Creamy liquid;59
salt honeydew;pod system;60
Milk banana/honeydew 60ml;Creamy liquid;61
Dewa roman picisan 60ml;Creamy;62
artha v1 clone rda;atomizer;63
nanuna ;Creamy liquid;64
lcv 60ml;Creamy liquid;65
Kawa kawa salt 30ml;saltnic;66
slowblow salt 30ml;pod system;67
pocky q oreo;Creamy liquid;68
bananalicios salt 15ml;pod system;69
grappy salt 30ml;pod system;70
renova zero catdrige;pod system;71
alexa rda 22;atomizer;72
rincoe manto s;device;73
o rama 100ml;Creamy liquid;74
coiling;tools;75
warp batre;tools;76
drag catdrige pod salt;tools;77
wasp nano rda singel;atomizer;78
susu bro 60ml;Creamy liquid;79
ufa;Creamy liquid;80
bule bolu 60ml;Creamy liquid;81
salt mild strwberry cheese cake;pod system;82
pocky q salt;pod system;83
golden layers salt 30ml;pod system;84
coffe culture salt;pod system;85
rba pasito;pod system;86
X1 liquid 60ml;Creamy liquid;87
bucks bake;Creamy liquid;88
dark luna 60ml;Creamy liquid;89
arcana 60ml;Creamy liquid;90
lemon poundcake;Creamy liquid;91
bananalicios 60ml ;Creamy liquid;92
snake head;Creamy liquid;93
berry hanna salt 30ml;saltnic;94
red wine;pod system;95
smok nord coil;Creamy liquid;96
lisbspabsbw;Creamy liquid;97
nyx 60ml;fruity liquid;98
smoant naboo mod;device;99
druga foxy resin;device;100
Foom breeze 60ml;fruity liquid;101
Relx Essential pod;pod system;102
smoant pasito;pod system;103
smok nord 2 kit pod;pod system;104
king reserve 60ml;Creamy liquid;108
rincoe manto mini;device;109
wwwwwww;Creamy liquid;110
caliburn gk2 vision pod;pod system;111
hangover;fruity liquid;112
slowblow 15ml;pod system;113
Morning star/beng 60ml;Creamy liquid;114
exo 60ml;fruity liquid;115
catdrige karat;pod system;116
tang potong plato;tools;117
Level up salt 15ml;saltnic;118
Pingu 60ml;Creamy liquid;119
twezzer ceramic;tools;120
mango poundcake;Creamy liquid;121
gula cuukies;Creamy liquid;122
creamy panda;Creamy liquid;123
Creme & crime 60ml;Creamy liquid;124
Kdest 2400mah;tools;125
hey taro;Creamy liquid;126
Rilla fruity 60ml;fruity liquid;127
public salt 15ml;pod system;128
preco tank;tools;129
exo salt 30ml;pod system;130
aegis legend mod;device;131
artery coil pod;pod system;132
arnayisbs;pod system;133
akk alien;tools;134
tesla inv 4x mod;device;135
emoji mod gondala;device;136
clapon pro;tools;138
